           NAME           TYPE              S           X            PX              Y             PY              Z             Pt    
      YI6_SXF11           SEXT        170.585   -1.36597e-08   -5.49449e-10   -7.75557e-11    9.79455e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT        170.716   -1.37317e-08   -5.49449e-10   -7.62722e-11    9.79455e-12   -0.000624971   -1.20766e-11
       YI6_QF11           QUAD        171.826   -1.36782e-08    6.45195e-10   -6.89152e-11    3.56708e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        172.371   -1.33264e-08    6.45195e-10   -6.69703e-11    3.56708e-12   -0.000624971   -1.20766e-11
       YI6_TH11         KICKER        172.371   -1.33264e-08    6.45191e-10   -6.69703e-11    3.56708e-12   -0.000624971   -1.20766e-11
       DRIFT_37          DRIFT        173.948   -1.23094e-08    6.45191e-10   -6.13479e-11    3.56708e-12   -0.000624971   -1.20766e-11
    YI6_DH11_E1           MULT        173.948   -1.23094e-08    6.45191e-10   -6.13479e-11    3.56708e-12   -0.000624971   -1.20766e-11
       YI6_DH11          SBEND        183.388   -6.21284e-09    6.46208e-10   -2.76724e-11    3.56708e-12   -0.000624971   -1.20766e-11
    YI6_DH11_E2           MULT        183.388   -6.21284e-09    6.46208e-10   -2.76724e-11    3.56708e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        184.402   -5.55749e-09    6.46208e-10   -2.40548e-11    3.56708e-12   -0.000624971   -1.20766e-11
       YI6_BV12          DRIFT        184.402   -5.55749e-09    6.46208e-10   -2.40548e-11    3.56708e-12   -0.000624971   -1.20766e-11
       DRIFT_19          DRIFT        184.629    -5.4113e-09    6.46208e-10   -2.32478e-11    3.56708e-12   -0.000624971   -1.20766e-11
      YI6_SXD12           SEXT        185.379   -4.92664e-09    6.46208e-10   -2.05725e-11    3.56708e-12   -0.000624971   -1.20766e-11
       DRIFT_20          DRIFT         185.51   -4.84195e-09    6.46208e-10    -2.0105e-11    3.56708e-12   -0.000624971   -1.20766e-11
       YI6_QD12           QUAD         186.62   -4.35407e-09    2.40091e-10    -1.5225e-11    5.15324e-12   -0.000624971   -1.20766e-11
       DRIFT_21          DRIFT        187.165   -4.22316e-09    2.40091e-10   -1.24152e-11    5.15324e-12   -0.000624971   -1.20766e-11
       YI6_TV12         KICKER        187.165   -4.22316e-09    2.40091e-10   -1.24152e-11    5.15324e-12   -0.000624971   -1.20766e-11
       DRIFT_38          DRIFT        188.741   -3.84473e-09    2.40091e-10   -4.29271e-12    5.15324e-12   -0.000624971   -1.20766e-11
    YI6_DH12_E1           MULT        188.741   -3.84473e-09    2.40091e-10   -4.29271e-12    5.15324e-12   -0.000624971   -1.20766e-11
       YI6_DH12          SBEND        198.182     -1.578e-09    2.40056e-10    4.43573e-11    5.15324e-12   -0.000624971   -1.20766e-11
    YI6_DH12_E2           MULT        198.182     -1.578e-09    2.40056e-10    4.43573e-11    5.15324e-12   -0.000624971   -1.20766e-11
       DRIFT_36          DRIFT        199.196   -1.33455e-09    2.40056e-10    4.95835e-11    5.15324e-12   -0.000624971   -1.20766e-11
