           NAME           TYPE              S          BETA1          ALFA1            MU1          BETA2          ALFA2            MU2           ETAX          ETAXP           ETAY          ETAYP
       YI6_TV14         KICKER        216.752        12.5312      -0.631573        1.67918        45.5812        2.06195        1.31089        1.07988      0.0466273     3.0248e-05   -1.16617e-06
       DRIFT_40          DRIFT        218.328        14.7995      -0.807526        1.69764        39.3673        1.88035        1.31681        1.15337      0.0466273    2.84099e-05   -1.16617e-06
    YI6_DH14_E1           MULT        218.328        14.7995      -0.807526        1.69764        39.3673        1.88035        1.31681        1.15337      0.0466273    2.84099e-05   -1.16617e-06
       YI6_DH14          SBEND        227.769        39.9531       -1.85553        1.76108        14.1325       0.792643        1.38235        1.77629      0.0853211    1.74005e-05   -1.16617e-06
    YI6_DH14_E2           MULT        227.769        39.9531       -1.85553        1.76108        14.1325       0.792643        1.38235        1.77629      0.0853211    1.74005e-05   -1.16617e-06
       DRIFT_36          DRIFT        228.783        43.8311       -1.96831        1.76494        12.6433       0.675796        1.39443        1.86282      0.0853211    1.62178e-05   -1.16617e-06
       YI6_BH15          DRIFT        228.783        43.8311       -1.96831        1.76494        12.6433       0.675796        1.39443        1.86282      0.0853211    1.62178e-05   -1.16617e-06
       DRIFT_19          DRIFT        229.009        44.7274       -1.99346        1.76575        12.3434       0.649731        1.39732        1.88212      0.0853211     1.5954e-05   -1.16617e-06
      YI6_SXF15           SEXT        229.759        47.7801       -2.07687        1.76834        11.4336        0.56332        1.40737        1.94612      0.0853211    1.50794e-05   -1.16614e-06
       DRIFT_20          DRIFT         229.89        48.3264       -2.09144        1.76877        11.2879       0.548221        1.40921         1.9573      0.0853211    1.49266e-05   -1.16614e-06
       YI6_QF15           QUAD            231        48.3187        2.09817        1.77237        11.2566      -0.519102        1.42516        1.95731     -0.0852947    1.43335e-05    8.89022e-08
       DRIFT_21          DRIFT        231.545        46.0639         2.0372        1.77421        11.8562      -0.580592        1.43267         1.9108     -0.0852947    1.43819e-05    8.89022e-08
       YI6_TH15         KICKER        231.545        46.0639         2.0372        1.77421        11.8562      -0.580592        1.43267         1.9108     -0.0852947    1.43819e-05    8.89022e-08
       DRIFT_41          DRIFT        233.122        39.9196        1.86098        1.78006        13.9666      -0.758347        1.45221        1.77636     -0.0852947    1.45221e-05    8.89022e-08
    YI6_DH15_E1           MULT        233.122        39.9196        1.86098        1.78006        13.9666      -0.758347        1.45221        1.77636     -0.0852947    1.45221e-05    8.89029e-08
       YI6_DH15          SBEND        242.562        14.7167       0.807288        1.84372        38.3364       -1.82302         1.5191         1.1537     -0.0466009    1.53614e-05    8.89029e-08
